ID,land_use,survey,amostrado,Rhinella schneideri,Dendropsophus minutus,Dendropsophus nanus,Hypsiboas faber,Hypsiboas albopunctatus,Hypsiboas lundii,Hypsiboas raniceps,Scinax spp ,Trachycephalus venulosus,Eupemphix nattereri,Physalaemus centralis,Physalaemus cuvieri,Phyllomedusa hypochondrialis,Leptodactylus fuscus,Leptodactylus labyrinthicus,Leptodactylus mystacinus,Leptodactylus mystaceus,Leptodactylus podicipinus,Odontophrynus cultripes,Dermatonotus muelleri,Elachistocleis sp,Chiasmocleis albopunctata
JT01,cerrado,1,s,0,9.819121447,0.516795866,16.5374677,0,0,0,9.560723514,0,0,0,18.73385013,0,0,0.387596899,0,0.129198966,48.57881137,0.516795866,0,0.387596899,0
JT02,cerrado,1,s,0,0,0,0,0,0,0,0,0.683994528,0,0.170998632,8.378932969,0,0,0,0,71.47742818,0,0,8.378932969,0,14.53488372
JT04,cerrado,1,s,0,0,0.387596899,0,0,0,0,0,0,0,0,2.325581395,0,0,0,0,0,0,0,0,0,0
JT05,cerrado,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT06,cerrado,1,n,,,,,,,,,,,,,,,,,,,,,,
JT08,cerrado,1,s,0,0,0,0,0,0,0,4.651162791,0,0,0,62.79069767,0,83.72093023,0,0,0,0,0,0,0,0
JT09,cerrado,1,n,,,,,,,,,,,,,,,,,,,,,,
JT10,cerrado,1,s,0,0,0,0,0,0,0,565.8914729,0,0,0,8.527131783,0,6.976744186,0.775193798,0,0,0,0,0,0.775193798,9.302325581
JT14,cerrado,1,n,,,,,,,,,,,,,,,,,,,,,,
JT16,cerrado,1,n,,,,,,,,,,,,,,,,,,,,,,
AMP03,pastagem,1,s,0,0,0,0,0,0,0,10.07751938,0,0,0,0,0,3.875968992,0,0,0,0,0,22.48062016,0,0
AMP06,pastagem,1,s,154.2635659,0,0,0,0,0,0,0,0,0,0,1.937984496,0,0,0,0,0,39.53488372,0,0,0,0
AMP09,pastagem,1,s,63.43669251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMP16,pastagem,1,s,93.79844961,0,0,0,0,0,0,0,0,0,0,17.44186047,0,0,0,0,0,0,0,0,0,0
AMP17,pastagem,1,s,11.62790698,0,0,0,0,0,0,173.6434109,0,10.07751938,0,18.60465116,0,1.550387597,0,0,0,0,0,0,0,0
AMP21,pastagem,1,n,,,,,,,,,,,,,,,,,,,,,,
AMC02  ,canavial,1,s,0,0,0,0,0,0,0,2.713178295,0,23.25581395,0,0,0,1.937984496,0,0.775193798,0,0,0,0,0,0
CC07,canavial,1,s,0,0,0,0,0,0,0,0,0,0,0,0.129198966,0,0,0,0,0,0,0,0,0,0
CC08,canavial,1,s,0,21.57622739,0,0,0,0,0,293.1524548,0,0,0,4.909560724,0,0,0,0,0,0,0,0,0,0
CC09,canavial,1,s,0,0,0.129198966,0,0,0,0,0,0,0,0,8.010335917,0,0,0,0,0,0,0,0,0,0
CC22,canavial,1,n,,,,,,,,,,,,,,,,,,,,,,
CC23,canavial,1,s,0,0,0,0,0,0,0,0,0,2.325581395,0,0,0,46.51162791,0,0,0,0,0,0,0,0
CC28,canavial,1,s,0,0,0,0,0,0,0,0,0,444.1860465,0,0,0,474.4186047,0,0,0,0,0,0,0,0
CC34,canavial,1,s,0,0,0,0,0,0,0,0,0,14.14728682,0,0,0,1.744186047,0,0,0,0,0,0,0,0
CC38,canavial,1,s,0,0,0,0,0,0,0,0,0,103.875969,0,0,0,0.775193798,0,0,0,0,0,0,0,0
CC39,canavial,1,s,0,0,0,0,0,0,0,0,0,12.40310078,0,0,0,25.58139535,0,0,0,0,0,0,0,0
CC43,canavial,1,n,,,,,,,,,,,,,,,,,,,,,,
JT01,cerrado,2,s,0,22.24469161,3.53892821,29.44893832,1.390293225,0.631951466,0,7.330637007,0,0,0,7.83619818,0,0,0,0,0,76.08695652,2.022244692,0,0,0
JT02,cerrado,2,s,0,3.488372093,1.937984496,10.07751938,0,0,0,64.34108527,0,0,0,5.426356589,0,0,0,0,0,0,0,0,0,0
JT04,cerrado,2,s,0,0,2.250562641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT05,cerrado,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT06,cerrado,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT08,cerrado,2,s,0,0,0,0,0,0,0,110.0775194,0,0,0,0,0,0.775193798,0,0,0,0,0,0,0,0
JT09,cerrado,2,s,0,0.775193798,0,0,0,0,0,176.744186,0,0,0,0,0,0,0,0,0,0,0,0,5.426356589,0.775193798
JT10,cerrado,2,s,0,50.7751938,0,0,0,0,0,74.03100775,0,0,0,47.28682171,0,0,0,0,0,0,0,0,0.775193798,0
JT14,cerrado,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT16,cerrado,2,s,0,0,0,0,0,0,0,0.750187547,0,0,0,0.375093773,0,0,0,0,0,0,0,0,0,0
AMP03,pastagem,2,s,0,0,0,0,0,0,0,36.04651163,0,20.54263566,0,0.387596899,0,0,0,0,0,0,0,0,0,0
AMP06,pastagem,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMP09,pastagem,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMP16,pastagem,2,s,0,0,1.937984496,0,0,0,0,0,0,0,0,0.775193798,0,0,0,0,0,0,0,0,0,0
AMP17,pastagem,2,s,0,0,8.139534884,0,0,0,0,0,0,0,0,13.56589147,0,0,0,0,0,0,0,0,0,0
AMP21,pastagem,2,s,0,0,0,0,0,0,0,136.8217054,0,26.35658915,0,0,0,0,0,0,0,0,0,0,0,0
AMC02  ,canavial,2,s,0,0,0,0,0,0,0,49.2248062,0,74.03100775,0,0.775193798,0,0,0,0,0,0,0,0,0,0
CC07,canavial,2,s,0,90.14753688,3.500875219,0,0,0,0,173.5433858,0,0,0,7.501875469,13.6284071,0,0,0,0,0,0,0,1.250312578,0
CC08,canavial,2,s,0,24.03100775,0,0,0,0,0,19.37984496,0,0,0,11.49870801,1.42118863,0,0,0,0,0,0,0,0.129198966,0
CC09,canavial,2,s,0,0,1.291989664,0,0,0,0,0,0,0,0,13.56589147,0,0,0,0,0,0,0,0,0,0
CC22,canavial,2,s,0,0,0,0,0,0,0,6.201550388,0,31.78294574,0.387596899,0,0,10.46511628,0,0,0,0,0,0,0,0
CC23,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC28,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC34,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC38,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC39,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC43,canavial,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,12.40310078,0,0,0,0,0,0,0,0
